Symptoms,Outcome,Weight
 DIARRHOEA,NON-SERIOUS INJURIES/ ILLNESS,5075
DIARRHOEA,NON-SERIOUS INJURIES/ ILLNESS,3480
CHOKING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),3291
 NAUSEA,NON-SERIOUS INJURIES/ ILLNESS,3255
VOMITING,NON-SERIOUS INJURIES/ ILLNESS,3199
 VOMITING,NON-SERIOUS INJURIES/ ILLNESS,3155
 ABDOMINAL PAIN,NON-SERIOUS INJURIES/ ILLNESS,3092
OVARIAN CANCER,VISITED A HEALTH CARE PROVIDER,3035
OVARIAN CANCER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2729
NAUSEA,NON-SERIOUS INJURIES/ ILLNESS,2203
 MALAISE,NON-SERIOUS INJURIES/ ILLNESS,2022
ABDOMINAL PAIN,NON-SERIOUS INJURIES/ ILLNESS,1745
 CHOKING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1582
 DIARRHOEA,VISITED A HEALTH CARE PROVIDER,1435
 DYSPHAGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1428
 DYSPNOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1287
 ABDOMINAL PAIN UPPER,NON-SERIOUS INJURIES/ ILLNESS,1245
 HEADACHE,NON-SERIOUS INJURIES/ ILLNESS,1234
 VOMITING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1180
 DIARRHOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1180
 NAUSEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1161
 NAUSEA,VISITED A HEALTH CARE PROVIDER,1137
OVARIAN CANCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1133
 ABDOMINAL PAIN,VISITED A HEALTH CARE PROVIDER,1116
ALOPECIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1108
 VOMITING,VISITED A HEALTH CARE PROVIDER,1016
 VOMITING,HOSPITALIZATION,1015
 VOMITING,VISITED AN ER,1000
MALAISE,NON-SERIOUS INJURIES/ ILLNESS,950
DYSGEUSIA,NON-SERIOUS INJURIES/ ILLNESS,945
HEADACHE,NON-SERIOUS INJURIES/ ILLNESS,939
 DIARRHOEA, VISITED AN ER,938
 DIARRHOEA,VISITED AN ER,925
 NAUSEA,VISITED AN ER,910
 FOREIGN BODY TRAUMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),905
 VOMITING, HOSPITALIZATION,900
 PRURITUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),896
 HYPERSENSITIVITY,NON-SERIOUS INJURIES/ ILLNESS,895
 ALOPECIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),891
 DIARRHOEA,HOSPITALIZATION,890
